cancer	standard_drug_name	hpo_term	go_term	2019_None
breast_cancer	PALBOCICLIB	HP:0001263	GO:0019899	3107030000.0
breast_cancer	PALBOCICLIB	HP:0001263	GO:0019901	582030000.0
breast_cancer	PALBOCICLIB	HP:0001263	GO:0019904	2442960000.0
breast_cancer	PALBOCICLIB	HP:0001263	GO:0030496	90065600.0
breast_cancer	PALBOCICLIB	HP:0001263	GO:0030674	2150890000.0
breast_cancer	PALBOCICLIB	HP:0001263	GO:0031625	440602000.0
breast_cancer	PALBOCICLIB	HP:0001263	GO:0003677	497209000.0
breast_cancer	PALBOCICLIB	HP:0001263	GO:0003682	252642000.0
breast_cancer	PALBOCICLIB	HP:0001263	GO:0042393	2225840000.0
breast_cancer	PALBOCICLIB	HP:0001263	GO:0042802	9207480000.0
breast_cancer	PALBOCICLIB	HP:0001263	GO:0042803	2161530000.0
breast_cancer	PALBOCICLIB	HP:0001263	GO:0043065	157236000.0
breast_cancer	PALBOCICLIB	HP:0001263	GO:0044212	274186000.0
breast_cancer	PALBOCICLIB	HP:0001263	GO:0045892	1069040000.0
breast_cancer	PALBOCICLIB	HP:0001263	GO:0045893	2281120000.0
breast_cancer	PALBOCICLIB	HP:0001263	GO:0045944	3728750000.0
breast_cancer	PALBOCICLIB	HP:0001263	GO:0046982	330502000.0
breast_cancer	PALBOCICLIB	HP:0001263	GO:0004842	170978000.0
breast_cancer	PALBOCICLIB	HP:0001263	GO:0051219	2141130000.0
breast_cancer	PALBOCICLIB	HP:0001263	GO:0005515	235321000000.0
breast_cancer	PALBOCICLIB	HP:0001263	GO:0005615	913718000.0
breast_cancer	PALBOCICLIB	HP:0001263	GO:0005634	39856800000.0
breast_cancer	PALBOCICLIB	HP:0001263	GO:0005654	21635000000.0
breast_cancer	PALBOCICLIB	HP:0001263	GO:0005730	2086490000.0
breast_cancer	PALBOCICLIB	HP:0001263	GO:0005737	21134900000.0
breast_cancer	PALBOCICLIB	HP:0001263	GO:0005739	3492280000.0
breast_cancer	PALBOCICLIB	HP:0001263	GO:0005764	108395000.0
breast_cancer	PALBOCICLIB	HP:0001263	GO:0005783	1436710000.0
breast_cancer	PALBOCICLIB	HP:0001263	GO:0005789	98883700.0
breast_cancer	PALBOCICLIB	HP:0001263	GO:0005794	1913840000.0
breast_cancer	PALBOCICLIB	HP:0001263	GO:0005813	1726900000.0
breast_cancer	PALBOCICLIB	HP:0001263	GO:0005829	29331900000.0
breast_cancer	PALBOCICLIB	HP:0001263	GO:0005886	9649760000.0
breast_cancer	PALBOCICLIB	HP:0001263	GO:0005887	392790000.0
breast_cancer	PALBOCICLIB	HP:0001263	GO:0006355	170132000.0
breast_cancer	PALBOCICLIB	HP:0001263	GO:0006357	107590000.0
breast_cancer	PALBOCICLIB	HP:0001263	GO:0006974	310168000.0
breast_cancer	PALBOCICLIB	HP:0001263	GO:0000790	213378000.0
breast_cancer	PALBOCICLIB	HP:0001263	GO:0008270	194993000.0
breast_cancer	PALBOCICLIB	HP:0001263	GO:0008284	539294000.0
breast_cancer	PALBOCICLIB	HP:0001263	GO:0000978	487176000.0
breast_cancer	PALBOCICLIB	HP:0001395	GO:0005515	785242000.0
breast_cancer	PALBOCICLIB	HP:0001395	GO:0005634	138636000.0
breast_cancer	PALBOCICLIB	HP:0001395	GO:0005829	98340600.0
breast_cancer	PALBOCICLIB	HP:0001396	GO:0005515	129084000.0
breast_cancer	PALBOCICLIB	HP:0001409	GO:0005515	273116000.0
breast_cancer	PALBOCICLIB	HP:0001511	GO:0140030	236222000.0
breast_cancer	PALBOCICLIB	HP:0001511	GO:0016604	94605700.0
breast_cancer	PALBOCICLIB	HP:0001511	GO:0019899	364652000.0
breast_cancer	PALBOCICLIB	HP:0001511	GO:0019904	282527000.0
breast_cancer	PALBOCICLIB	HP:0001511	GO:0030674	237403000.0
breast_cancer	PALBOCICLIB	HP:0001511	GO:0042393	247654000.0
